# Multi-sample, combined g-g g-k C_l.
# Samples: [51, 53]
# Have 32 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   64.50  4.99707000e-05  5.51336000e-07  4.61497000e-05  5.21629000e-07
   94.50  3.29918000e-05  3.01027000e-07  3.38320000e-05  4.38558000e-07
  124.50  2.65068000e-05  2.48615000e-07  2.72145000e-05  3.93551000e-07
  154.50  2.13120000e-05  3.59961000e-07  2.00958000e-05  3.61298000e-07
  184.50  1.78657000e-05  1.83445000e-07  1.78872000e-05  1.56827000e-07
  214.50  1.60489000e-05  1.21125000e-07  1.59881000e-05  2.10646000e-07
  244.50  1.55101000e-05  1.63931000e-07  1.42171000e-05  1.93619000e-07
  274.50  1.35722000e-05  4.80987000e-08  1.37177000e-05  1.20871000e-07
  304.50  1.21747000e-05  1.00082000e-07  1.22175000e-05  6.03338000e-08
  334.50  1.18149000e-05  1.94213000e-07  1.23638000e-05  1.51511000e-07
  364.50  1.17174000e-05  4.38982000e-08  1.10709000e-05 -1.22877000e-08
  394.50  1.11080000e-05  4.13385000e-08  1.09526000e-05  3.68606000e-08
  424.50  1.08410000e-05  4.59970000e-08  1.01695000e-05  1.19082000e-07
  454.50  1.06203000e-05  1.39903000e-07  9.62216000e-06  6.36932000e-08
  484.50  9.66606000e-06  5.22190000e-08  9.58737000e-06  1.24948000e-07
  514.50  9.87548000e-06  4.56179000e-08  9.14524000e-06  1.12173000e-07
  544.50  9.63813000e-06  8.11558000e-08  9.24204000e-06  1.04698000e-07
  574.50  9.46069000e-06  9.52115000e-08  8.96239000e-06 -2.75670000e-09
  604.50  9.41208000e-06  1.00924000e-07  8.74430000e-06 -2.35023000e-08
  634.50  9.11403000e-06  8.20173000e-08  8.54180000e-06  3.30680000e-08
  664.50  8.98307000e-06  5.50053000e-08  8.41721000e-06  1.02952000e-07
  694.50  8.97831000e-06  2.11941000e-08  8.63701000e-06  5.55187000e-08
  724.50  8.93681000e-06  1.14369000e-07  8.37305000e-06  6.08234000e-08
  754.50  8.86262000e-06  6.27369000e-08  8.37504000e-06  2.38179000e-08
  784.50  8.71249000e-06  3.25437000e-08  8.23681000e-06  1.79048000e-08
  814.50  8.92900000e-06  4.80794000e-08  8.13627000e-06  2.18122000e-08
  844.50  8.45595000e-06  6.69682000e-08  8.12822000e-06  5.27066000e-08
  874.50  8.50609000e-06 -2.38011000e-09  7.94347000e-06  2.84124000e-08
  904.50  8.51645000e-06  3.36834000e-08  8.27374000e-06  6.22647000e-08
  934.50  8.23064000e-06  4.29405000e-08  7.92957000e-06  3.28117000e-08
  964.50  8.56055000e-06  3.12744000e-08  8.12838000e-06  4.74534000e-08
  994.50  8.23888000e-06  8.15710000e-09  7.88514000e-06  3.46919000e-08
