# Multi-sample, combined g-g g-k C_l.
# Samples: [51, 53]
# Have 32 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   64.50  4.99697000e-05  5.48607000e-07  4.61513000e-05  6.30287000e-07
   94.50  3.29917000e-05  3.19458000e-07  3.38322000e-05  4.22319000e-07
  124.50  2.65067000e-05  8.19909000e-08  2.72146000e-05  2.90148000e-07
  154.50  2.13120000e-05  3.43781000e-07  2.00959000e-05  2.33980000e-07
  184.50  1.78656000e-05  1.64518000e-07  1.78873000e-05  2.31908000e-07
  214.50  1.60488000e-05  1.26713000e-07  1.59882000e-05  2.26987000e-07
  244.50  1.55101000e-05  1.86221000e-07  1.42172000e-05  1.81678000e-07
  274.50  1.35721000e-05  6.42056000e-08  1.37178000e-05  1.17083000e-07
  304.50  1.21746000e-05  8.41829000e-08  1.22176000e-05  4.91453000e-08
  334.50  1.18148000e-05  1.69361000e-07  1.23640000e-05  1.04901000e-07
  364.50  1.17173000e-05  5.35726000e-08  1.10710000e-05 -3.04598000e-08
  394.50  1.11079000e-05 -1.68121000e-09  1.09527000e-05  5.45987000e-08
  424.50  1.08409000e-05  4.06137000e-08  1.01697000e-05  1.23458000e-07
  454.50  1.06202000e-05  1.75566000e-07  9.62238000e-06  7.46645000e-08
  484.50  9.66591000e-06  3.62443000e-08  9.58762000e-06  1.46797000e-07
  514.50  9.87531000e-06  2.77609000e-08  9.14551000e-06  1.14981000e-07
  544.50  9.63795000e-06  7.88865000e-08  9.24234000e-06  1.14530000e-07
  574.50  9.46049000e-06  6.52694000e-08  8.96272000e-06 -1.35535000e-09
  604.50  9.41186000e-06  8.42778000e-08  8.74467000e-06 -5.09781000e-08
  634.50  9.11378000e-06  8.25672000e-08  8.54220000e-06  2.38290000e-08
  664.50  8.98280000e-06  5.81151000e-08  8.41765000e-06  1.10802000e-07
  694.50  8.97801000e-06  1.85897000e-08  8.63749000e-06  8.89653000e-08
  724.50  8.93648000e-06  9.53622000e-08  8.37357000e-06  5.36913000e-08
  754.50  8.86228000e-06  7.28320000e-08  8.37560000e-06  3.50154000e-08
  784.50  8.71211000e-06  6.63839000e-09  8.23742000e-06 -8.69144000e-09
  814.50  8.92859000e-06  1.63791000e-08  8.13692000e-06  1.47710000e-08
  844.50  8.45552000e-06  6.57381000e-08  8.12892000e-06  4.61376000e-08
  874.50  8.50563000e-06 -3.26457000e-09  7.94422000e-06  2.52785000e-08
  904.50  8.51596000e-06  2.71494000e-08  8.27454000e-06  7.14248000e-08
  934.50  8.23011000e-06  3.97166000e-08  7.93043000e-06  2.86842000e-08
  964.50  8.55998000e-06  2.14017000e-08  8.12928000e-06  3.48818000e-08
  994.50  8.23828000e-06  2.58176000e-09  7.88610000e-06  4.31033000e-08
