# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=5.326090e-06.
#    ell           C_l_a           C_l_x
    49.5     5.81902e-05     1.24234e-06
    99.5     2.94457e-05     2.40154e-07
   149.5     1.96396e-05     2.53856e-07
   199.5     1.56152e-05     1.38072e-07
   249.5     1.37250e-05     1.54994e-07
   299.5     1.16213e-05     7.93842e-08
   349.5     1.08133e-05     8.34988e-08
   399.5     1.01916e-05     4.30082e-08
   449.5     9.74761e-06     1.32904e-07
   499.5     8.88494e-06     3.69511e-08
   549.5     8.81826e-06     5.51397e-08
   599.5     8.72901e-06     5.54219e-08
   649.5     8.31038e-06     6.99079e-08
   699.5     8.28649e-06     6.45580e-08
   749.5     8.06977e-06     6.28781e-08
   799.5     8.03590e-06     2.25169e-08
   849.5     7.77797e-06     2.37669e-08
   899.5     7.77621e-06     1.86579e-08
   949.5     7.60865e-06     3.05487e-08
   999.5     7.64496e-06     2.30630e-08
