# Multi-sample, combined g-g g-k C_l.
# Samples: [13, 23]
# Have 20 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   49.50  6.33694000e-05  7.63264000e-07  6.59193000e-05  8.60231000e-07
   99.50  3.51102000e-05  3.48117000e-07  3.39139000e-05  4.22543000e-07
  149.50  2.24214000e-05  2.95272000e-07  2.13396000e-05  3.58901000e-07
  199.50  1.73787000e-05  2.49738000e-07  1.83529000e-05  3.38195000e-07
  249.50  1.41975000e-05  1.29631000e-07  1.37877000e-05  1.91115000e-07
  299.50  1.26363000e-05  9.95619000e-08  1.28038000e-05  1.51613000e-07
  349.50  1.17242000e-05  3.51834000e-09  1.17077000e-05  1.22018000e-07
  399.50  1.04899000e-05  7.88925000e-08  1.03873000e-05  9.78097000e-08
  449.50  9.75796000e-06  7.52119000e-08  1.01409000e-05  7.48035000e-08
  499.50  9.25430000e-06  1.58917000e-07  9.39400000e-06 -1.66550000e-08
  549.50  8.93734000e-06  6.78013000e-08  9.05441000e-06  5.52649000e-08
  599.50  8.49562000e-06 -1.18746000e-08  8.75710000e-06  1.13453000e-07
  649.50  8.09135000e-06  6.57570000e-08  8.52845000e-06  1.87353000e-07
  699.50  8.23126000e-06  7.22983000e-08  8.55216000e-06  8.86946000e-08
  749.50  8.07201000e-06  4.21192000e-08  8.62739000e-06 -1.02548000e-08
  799.50  7.85738000e-06  8.86143000e-09  7.98139000e-06  6.18938000e-08
  849.50  7.69666000e-06  4.73282000e-08  8.05485000e-06  2.51463000e-08
  899.50  7.70048000e-06  2.31161000e-08  7.87747000e-06  2.61242000e-08
  949.50  7.62515000e-06  4.93490000e-08  7.82927000e-06  5.58266000e-08
  999.50  7.50547000e-06  4.59693000e-08  8.04256000e-06  2.95556000e-08
