# Multi-sample, combined g-g g-k C_l.
# Samples: [51, 53, 61, 63]
# Have 32 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   64.50  4.99697000e-05  5.48607000e-07  4.61513000e-05  6.30287000e-07  6.16652000e-05  5.13708000e-07  4.94772000e-05  1.61933000e-07
   94.50  3.29917000e-05  3.19458000e-07  3.38322000e-05  4.22319000e-07  2.73052000e-05  2.52956000e-07  3.28994000e-05  4.35346000e-07
  124.50  2.65067000e-05  8.19909000e-08  2.72146000e-05  2.90148000e-07  2.78153000e-05  3.54158000e-07  2.71925000e-05  4.63407000e-07
  154.50  2.13120000e-05  3.43781000e-07  2.00959000e-05  2.33980000e-07  2.16555000e-05  3.37595000e-07  2.02006000e-05  4.26022000e-07
  184.50  1.78656000e-05  1.64518000e-07  1.78873000e-05  2.31908000e-07  1.59637000e-05 -1.11654000e-08  1.88238000e-05  2.72062000e-07
  214.50  1.60488000e-05  1.26713000e-07  1.59882000e-05  2.26987000e-07  1.32411000e-05  1.74437000e-07  1.57919000e-05  3.01953000e-07
  244.50  1.55101000e-05  1.86221000e-07  1.42172000e-05  1.81678000e-07  1.30548000e-05  2.22242000e-07  1.39418000e-05  1.72417000e-07
  274.50  1.35721000e-05  6.42056000e-08  1.37178000e-05  1.17083000e-07  1.21450000e-05  2.74363000e-07  1.29967000e-05  1.37189000e-07
  304.50  1.21746000e-05  8.41829000e-08  1.22176000e-05  4.91453000e-08  1.15165000e-05  9.71448000e-08  1.32726000e-05  2.08199000e-07
  334.50  1.18148000e-05  1.69361000e-07  1.23640000e-05  1.04901000e-07  1.15154000e-05  1.31846000e-07  1.19470000e-05  3.11711000e-08
  364.50  1.17173000e-05  5.35726000e-08  1.10710000e-05 -3.04598000e-08  1.14622000e-05  4.74910000e-08  1.13487000e-05  1.54769000e-07
  394.50  1.11079000e-05 -1.68121000e-09  1.09527000e-05  5.45987000e-08  9.85373000e-06  1.12963000e-07  1.04019000e-05  1.82073000e-07
  424.50  1.08409000e-05  4.06137000e-08  1.01697000e-05  1.23458000e-07  9.22508000e-06 -1.87349000e-09  1.07009000e-05  4.02202000e-08
  454.50  1.06202000e-05  1.75566000e-07  9.62238000e-06  7.46645000e-08  9.24307000e-06  5.33565000e-08  1.00779000e-05  1.13287000e-07
  484.50  9.66591000e-06  3.62443000e-08  9.58762000e-06  1.46797000e-07  9.36759000e-06  1.06964000e-07  9.51062000e-06  2.62693000e-08
  514.50  9.87531000e-06  2.77609000e-08  9.14551000e-06  1.14981000e-07  8.71549000e-06 -4.85604000e-08  9.69498000e-06 -5.25745000e-08
  544.50  9.63795000e-06  7.88865000e-08  9.24234000e-06  1.14530000e-07  7.98620000e-06  1.45843000e-08  9.30385000e-06  6.28460000e-09
  574.50  9.46049000e-06  6.52694000e-08  8.96272000e-06 -1.35535000e-09  8.24542000e-06  1.27683000e-07  9.29286000e-06  7.84051000e-08
  604.50  9.41186000e-06  8.42778000e-08  8.74467000e-06 -5.09781000e-08  8.44602000e-06  4.09873000e-08  9.07681000e-06  1.67476000e-07
  634.50  9.11378000e-06  8.25672000e-08  8.54220000e-06  2.38290000e-08  8.18960000e-06  4.98572000e-08  9.29197000e-06  2.11890000e-07
  664.50  8.98280000e-06  5.81151000e-08  8.41765000e-06  1.10802000e-07  8.28412000e-06  1.09409000e-07  8.29783000e-06  1.82536000e-07
  694.50  8.97801000e-06  1.85897000e-08  8.63749000e-06  8.89653000e-08  8.31403000e-06  4.64751000e-08  9.05174000e-06  1.01980000e-07
  724.50  8.93648000e-06  9.53622000e-08  8.37357000e-06  5.36913000e-08  7.98738000e-06  2.97442000e-08  8.61341000e-06  1.20263000e-08
  754.50  8.86228000e-06  7.28320000e-08  8.37560000e-06  3.50154000e-08  8.06365000e-06  6.92160000e-08  9.25639000e-06  1.78090000e-08
  784.50  8.71211000e-06  6.63839000e-09  8.23742000e-06 -8.69144000e-09  7.63447000e-06  2.85533000e-08  8.50055000e-06  7.19764000e-08
  814.50  8.92859000e-06  1.63791000e-08  8.13692000e-06  1.47710000e-08  7.86917000e-06  5.29000000e-09  8.38050000e-06 -1.15526000e-08
  844.50  8.45552000e-06  6.57381000e-08  8.12892000e-06  4.61376000e-08  7.77718000e-06 -4.60248000e-08  8.34416000e-06 -3.58594000e-08
  874.50  8.50563000e-06 -3.26457000e-09  7.94422000e-06  2.52785000e-08  7.73667000e-06  6.04632000e-08  8.07073000e-06  1.28529000e-07
  904.50  8.51596000e-06  2.71494000e-08  8.27454000e-06  7.14248000e-08  7.65695000e-06  2.12490000e-08  8.33018000e-06  6.06187000e-08
  934.50  8.23011000e-06  3.97166000e-08  7.93043000e-06  2.86842000e-08  7.66495000e-06 -6.21298000e-09  8.44167000e-06  3.42792000e-08
  964.50  8.55998000e-06  2.14017000e-08  8.12928000e-06  3.48818000e-08  7.45524000e-06  1.35495000e-07  8.31655000e-06  2.67955000e-08
  994.50  8.23828000e-06  2.58176000e-09  7.88610000e-06  4.31033000e-08  7.76022000e-06  3.86920000e-08  8.75818000e-06  9.41600000e-09
