# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=5.054440e-06.
#    ell           C_l_a           C_l_x
    49.5     5.77749e-05     8.91651e-07
    99.5     2.55579e-05     4.74383e-07
   149.5     2.03711e-05     3.77481e-07
   199.5     1.26104e-05     8.02853e-08
   249.5     1.20312e-05     1.96642e-07
   299.5     1.07431e-05     1.61496e-07
   349.5     1.02589e-05     6.23057e-08
   399.5     9.17224e-06     1.21710e-07
   449.5     8.61997e-06     1.39611e-08
   499.5     8.48318e-06     5.42190e-08
   549.5     7.61826e-06     7.93053e-08
   599.5     7.60030e-06     8.80116e-08
   649.5     7.61014e-06     7.22476e-08
   699.5     7.49278e-06     4.64957e-09
   749.5     7.57295e-06     9.67157e-08
   799.5     7.21519e-06    -8.55443e-09
   849.5     7.25077e-06     5.12109e-09
   899.5     7.17368e-06     3.15024e-08
   949.5     6.95355e-06     7.34447e-08
   999.5     6.97330e-06     5.79087e-08
