# Redshift histogram for sample 21
# Using 18541427 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.20234   1.1800e+02
     0.20703   1.1105e+02
     0.21172   1.3129e+02
     0.21641   1.2437e+02
     0.22109   1.2648e+02
     0.22578   1.4114e+02
     0.23047   1.4521e+02
     0.23516   1.5729e+02
     0.23984   1.5447e+02
     0.24453   1.4399e+02
     0.24922   1.5192e+02
     0.25391   1.5821e+02
     0.25859   1.5281e+02
     0.26328   1.5015e+02
     0.26797   1.4862e+02
     0.27266   1.4515e+02
     0.27734   1.6560e+02
     0.28203   1.5473e+02
     0.28672   1.5810e+02
     0.29141   1.8795e+02
     0.29609   1.8944e+02
     0.30078   2.0027e+02
     0.30547   2.0549e+02
     0.31016   1.8979e+02
     0.31484   1.9634e+02
     0.31953   1.9548e+02
     0.32422   2.1399e+02
     0.32891   2.3807e+02
     0.33359   2.5155e+02
     0.33828   2.4900e+02
     0.34297   2.4746e+02
     0.34766   2.3048e+02
     0.35234   2.1118e+02
     0.35703   2.2841e+02
     0.36172   2.5426e+02
     0.36641   2.4233e+02
     0.37109   2.3580e+02
     0.37578   2.2902e+02
     0.38047   2.2177e+02
     0.38516   2.4075e+02
     0.38984   2.1197e+02
     0.39453   2.0485e+02
     0.39922   2.1418e+02
     0.40391   2.1934e+02
     0.40859   2.1815e+02
     0.41328   2.0952e+02
     0.41797   1.9992e+02
     0.42266   2.1022e+02
     0.42734   2.0672e+02
     0.43203   2.2879e+02
     0.43672   2.5405e+02
     0.44141   2.5964e+02
     0.44609   2.8700e+02
     0.45078   3.2128e+02
     0.45547   3.3183e+02
     0.46016   3.6681e+02
     0.46484   3.7082e+02
     0.46953   3.9366e+02
     0.47422   3.9817e+02
     0.47891   4.2242e+02
     0.48359   4.5352e+02
     0.48828   4.6239e+02
     0.49297   4.8216e+02
     0.49766   4.6486e+02
