# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
         0     1.64733e-05     1.66450e-07
         1     2.11619e-05     2.77880e-07
         2     2.55090e-05     3.80532e-07
         3     2.95279e-05     4.74799e-07
         4     3.32322e-05     5.61073e-07
         5     3.66353e-05     6.39746e-07
         6     3.97506e-05     7.11212e-07
         7     4.25917e-05     7.75861e-07
         8     4.51718e-05     8.34088e-07
         9     4.75045e-05     8.86284e-07
        10     4.96032e-05     9.32841e-07
        11     5.14814e-05     9.74153e-07
        12     5.31525e-05     1.01061e-06
        13     5.46294e-05     1.04258e-06
        14     5.59239e-05     1.07037e-06
        15     5.70474e-05     1.09429e-06
        16     5.80110e-05     1.11462e-06
        17     5.88250e-05     1.13163e-06
        18     5.95001e-05     1.14558e-06
        19     6.00461e-05     1.15670e-06
        20     6.04721e-05     1.16520e-06
        21     6.07865e-05     1.17129e-06
        22     6.09969e-05     1.17514e-06
        23     6.11106e-05     1.17691e-06
        24     6.11344e-05     1.17676e-06
        25     6.10753e-05     1.17484e-06
        26     6.09396e-05     1.17128e-06
        27     6.07335e-05     1.16622e-06
        28     6.04626e-05     1.15978e-06
        29     6.01322e-05     1.15207e-06
        30     5.97477e-05     1.14320e-06
        31     5.93138e-05     1.13328e-06
        32     5.88354e-05     1.12240e-06
        33     5.83173e-05     1.11068e-06
        34     5.77642e-05     1.09820e-06
        35     5.71806e-05     1.08506e-06
        36     5.65706e-05     1.07136e-06
        37     5.59385e-05     1.05717e-06
        38     5.52881e-05     1.04258e-06
        39     5.46231e-05     1.02766e-06
        40     5.39473e-05     1.01251e-06
        41     5.32638e-05     9.97175e-07
        42     5.25757e-05     9.81733e-07
        43     5.18855e-05     9.66240e-07
        44     5.11959e-05     9.50752e-07
        45     5.05088e-05     9.35311e-07
        46     4.98260e-05     9.19958e-07
        47     4.91493e-05     9.04734e-07
        48     4.84801e-05     8.89672e-07
        49     4.78197e-05     8.74799e-07
        50     4.71693e-05     8.60144e-07
        51     4.65302e-05     8.45735e-07
        52     4.59034e-05     8.31593e-07
        53     4.52897e-05     8.17739e-07
        54     4.46903e-05     8.04195e-07
        55     4.41058e-05     7.90978e-07
        56     4.35370e-05     7.78099e-07
        57     4.29842e-05     7.65568e-07
        58     4.24478e-05     7.53394e-07
        59     4.19282e-05     7.41586e-07
        60     4.14256e-05     7.30146e-07
        61     4.09399e-05     7.19076e-07
        62     4.04709e-05     7.08373e-07
        63     4.00186e-05     6.98040e-07
        64     3.95829e-05     6.88074e-07
        65     3.91634e-05     6.78468e-07
        66     3.87596e-05     6.69216e-07
        67     3.83711e-05     6.60311e-07
        68     3.79976e-05     6.51744e-07
        69     3.76385e-05     6.43508e-07
        70     3.72932e-05     6.35591e-07
        71     3.69613e-05     6.27981e-07
        72     3.66420e-05     6.20665e-07
        73     3.63348e-05     6.13630e-07
        74     3.60391e-05     6.06865e-07
        75     3.57542e-05     6.00355e-07
        76     3.54794e-05     5.94086e-07
        77     3.52141e-05     5.88044e-07
        78     3.49576e-05     5.82214e-07
        79     3.47092e-05     5.76581e-07
        80     3.44683e-05     5.71132e-07
        81     3.42341e-05     5.65852e-07
        82     3.40062e-05     5.60730e-07
        83     3.37840e-05     5.55751e-07
        84     3.35667e-05     5.50903e-07
        85     3.33539e-05     5.46173e-07
        86     3.31449e-05     5.41547e-07
