# Smooth curve fit to spectrum data.
#        ell        C_l_a        C_l_x
  0.0000e+00   7.3180e-08   1.2027e-07
  1.0000e+00   5.8776e-06   8.5205e-08
  2.0000e+00   2.8936e-05   1.1128e-07
  3.0000e+00   6.3136e-05   1.5098e-07
  4.0000e+00   9.7435e-05   1.9824e-07
  5.0000e+00   1.2597e-04   2.5013e-07
  6.0000e+00   1.4723e-04   3.0453e-07
  7.0000e+00   1.6174e-04   3.5984e-07
  8.0000e+00   1.7072e-04   4.1480e-07
  9.0000e+00   1.7543e-04   4.6845e-07
  1.0000e+01   1.7698e-04   5.2008e-07
  1.1000e+01   1.7624e-04   5.6918e-07
  1.2000e+01   1.7389e-04   6.1542e-07
  1.3000e+01   1.7043e-04   6.5859e-07
  1.4000e+01   1.6625e-04   6.9856e-07
  1.5000e+01   1.6161e-04   7.3532e-07
  1.6000e+01   1.5671e-04   7.6888e-07
  1.7000e+01   1.5170e-04   7.9932e-07
  1.8000e+01   1.4667e-04   8.2674e-07
  1.9000e+01   1.4170e-04   8.5128e-07
  2.0000e+01   1.3685e-04   8.7306e-07
  2.1000e+01   1.3213e-04   8.9223e-07
  2.2000e+01   1.2757e-04   9.0896e-07
  2.3000e+01   1.2319e-04   9.2340e-07
  2.4000e+01   1.1899e-04   9.3569e-07
  2.5000e+01   1.1497e-04   9.4599e-07
  2.6000e+01   1.1114e-04   9.5444e-07
  2.7000e+01   1.0747e-04   9.6118e-07
  2.8000e+01   1.0398e-04   9.6633e-07
  2.9000e+01   1.0066e-04   9.7004e-07
  3.0000e+01   9.7487e-05   9.7240e-07
  3.1000e+01   9.4470e-05   9.7354e-07
  3.2000e+01   9.1596e-05   9.7356e-07
  3.3000e+01   8.8858e-05   9.7255e-07
  3.4000e+01   8.6250e-05   9.7061e-07
  3.5000e+01   8.3763e-05   9.6782e-07
  3.6000e+01   8.1393e-05   9.6426e-07
  3.7000e+01   7.9132e-05   9.6000e-07
  3.8000e+01   7.6974e-05   9.5510e-07
  3.9000e+01   7.4914e-05   9.4964e-07
  4.0000e+01   7.2946e-05   9.4367e-07
  4.1000e+01   7.1065e-05   9.3724e-07
  4.2000e+01   6.9266e-05   9.3040e-07
  4.3000e+01   6.7545e-05   9.2319e-07
  4.4000e+01   6.5898e-05   9.1567e-07
  4.5000e+01   6.4321e-05   9.0786e-07
  4.6000e+01   6.2809e-05   8.9981e-07
  4.7000e+01   6.1359e-05   8.9154e-07
  4.8000e+01   5.9968e-05   8.8308e-07
  4.9000e+01   5.8633e-05   8.7447e-07
  5.0000e+01   5.7351e-05   8.6572e-07
  5.1000e+01   5.6120e-05   8.5687e-07
  5.2000e+01   5.4935e-05   8.4793e-07
  5.3000e+01   5.3796e-05   8.3891e-07
  5.4000e+01   5.2700e-05   8.2985e-07
  5.5000e+01   5.1645e-05   8.2075e-07
  5.6000e+01   5.0628e-05   8.1163e-07
  5.7000e+01   4.9648e-05   8.0250e-07
  5.8000e+01   4.8703e-05   7.9337e-07
  5.9000e+01   4.7792e-05   7.8427e-07
  6.0000e+01   4.6913e-05   7.7518e-07
  6.1000e+01   4.6064e-05   7.6613e-07
  6.2000e+01   4.5243e-05   7.5713e-07
  6.3000e+01   4.4451e-05   7.4817e-07
  6.4000e+01   4.3684e-05   7.3927e-07
  6.5000e+01   4.2943e-05   7.3044e-07
  6.6000e+01   4.2226e-05   7.2167e-07
  6.7000e+01   4.1532e-05   7.1297e-07
  6.8000e+01   4.0860e-05   7.0435e-07
  6.9000e+01   4.0209e-05   6.9581e-07
  7.0000e+01   3.9578e-05   6.8736e-07
  7.1000e+01   3.8967e-05   6.7899e-07
  7.2000e+01   3.8374e-05   6.7071e-07
  7.3000e+01   3.7799e-05   6.6253e-07
  7.4000e+01   3.7241e-05   6.5443e-07
  7.5000e+01   3.6699e-05   6.4643e-07
  7.6000e+01   3.6173e-05   6.3853e-07
  7.7000e+01   3.5661e-05   6.3073e-07
  7.8000e+01   3.5165e-05   6.2302e-07
  7.9000e+01   3.4682e-05   6.1541e-07
  8.0000e+01   3.4213e-05   6.0790e-07
  8.1000e+01   3.3756e-05   6.0048e-07
  8.2000e+01   3.3312e-05   5.9317e-07
  8.3000e+01   3.2880e-05   5.8596e-07
  8.4000e+01   3.2459e-05   5.7884e-07
  8.5000e+01   3.2049e-05   5.7183e-07
  8.6000e+01   3.1651e-05   5.6491e-07
  8.7000e+01   3.1262e-05   5.5809e-07
  8.8000e+01   3.0883e-05   5.5137e-07
  8.9000e+01   3.0514e-05   5.4474e-07
  9.0000e+01   3.0154e-05   5.3821e-07
  9.1000e+01   2.9803e-05   5.3177e-07
  9.2000e+01   2.9460e-05   5.2543e-07
  9.3000e+01   2.9126e-05   5.1918e-07
  9.4000e+01   2.8800e-05   5.1303e-07
  9.5000e+01   2.8482e-05   5.0696e-07
  9.6000e+01   2.8171e-05   5.0099e-07
  9.7000e+01   2.7867e-05   4.9510e-07
  9.8000e+01   2.7571e-05   4.8930e-07
  9.9000e+01   2.7281e-05   4.8359e-07
  1.0000e+02   2.6998e-05   4.7797e-07
  1.0100e+02   2.6721e-05   4.7243e-07
  1.0200e+02   2.6451e-05   4.6697e-07
  1.0300e+02   2.6186e-05   4.6160e-07
  1.0400e+02   2.5928e-05   4.5631e-07
  1.0500e+02   2.5674e-05   4.5109e-07
  1.0600e+02   2.5427e-05   4.4596e-07
  1.0700e+02   2.5184e-05   4.4091e-07
  1.0800e+02   2.4947e-05   4.3593e-07
  1.0900e+02   2.4715e-05   4.3103e-07
  1.1000e+02   2.4488e-05   4.2620e-07
  1.1100e+02   2.4265e-05   4.2144e-07
  1.1200e+02   2.4047e-05   4.1676e-07
  1.1300e+02   2.3833e-05   4.1215e-07
  1.1400e+02   2.3624e-05   4.0761e-07
  1.1500e+02   2.3418e-05   4.0314e-07
  1.1600e+02   2.3217e-05   3.9873e-07
  1.1700e+02   2.3020e-05   3.9439e-07
  1.1800e+02   2.2827e-05   3.9012e-07
  1.1900e+02   2.2637e-05   3.8591e-07
  1.2000e+02   2.2451e-05   3.8177e-07
  1.2100e+02   2.2269e-05   3.7769e-07
  1.2200e+02   2.2090e-05   3.7366e-07
  1.2300e+02   2.1914e-05   3.6970e-07
  1.2400e+02   2.1742e-05   3.6580e-07
  1.2500e+02   2.1573e-05   3.6196e-07
  1.2600e+02   2.1407e-05   3.5818e-07
  1.2700e+02   2.1244e-05   3.5445e-07
  1.2800e+02   2.1084e-05   3.5077e-07
  1.2900e+02   2.0926e-05   3.4716e-07
  1.3000e+02   2.0772e-05   3.4359e-07
  1.3100e+02   2.0620e-05   3.4008e-07
  1.3200e+02   2.0471e-05   3.3662e-07
  1.3300e+02   2.0325e-05   3.3321e-07
  1.3400e+02   2.0181e-05   3.2985e-07
  1.3500e+02   2.0040e-05   3.2654e-07
  1.3600e+02   1.9901e-05   3.2328e-07
  1.3700e+02   1.9764e-05   3.2006e-07
  1.3800e+02   1.9630e-05   3.1690e-07
  1.3900e+02   1.9498e-05   3.1377e-07
  1.4000e+02   1.9368e-05   3.1070e-07
  1.4100e+02   1.9240e-05   3.0767e-07
  1.4200e+02   1.9114e-05   3.0468e-07
  1.4300e+02   1.8991e-05   3.0173e-07
  1.4400e+02   1.8869e-05   2.9883e-07
  1.4500e+02   1.8749e-05   2.9597e-07
  1.4600e+02   1.8632e-05   2.9315e-07
  1.4700e+02   1.8516e-05   2.9037e-07
  1.4800e+02   1.8402e-05   2.8763e-07
  1.4900e+02   1.8289e-05   2.8493e-07
