# Multi-sample, combined g-g g-k C_l.
# Samples: [13, 23]
# Have 20 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   49.50  6.33694000e-05  6.39742000e-07  6.59193000e-05  8.10687000e-07
   99.50  3.51102000e-05  4.17887000e-07  3.39139000e-05  4.19754000e-07
  149.50  2.24214000e-05  3.69877000e-07  2.13396000e-05  2.50465000e-07
  199.50  1.73787000e-05  2.01907000e-07  1.83529000e-05  2.70346000e-07
  249.50  1.41975000e-05  1.63272000e-07  1.37877000e-05  1.20750000e-07
  299.50  1.26363000e-05  9.89823000e-08  1.28038000e-05  8.93643000e-08
  349.50  1.17242000e-05  4.72633000e-08  1.17077000e-05  1.49041000e-07
  399.50  1.04899000e-05  5.44213000e-08  1.03873000e-05  8.67744000e-08
  449.50  9.75796000e-06  8.19759000e-08  1.01409000e-05  8.73102000e-08
  499.50  9.25430000e-06  1.34579000e-07  9.39400000e-06 -2.41011000e-08
  549.50  8.93734000e-06  5.86690000e-08  9.05441000e-06 -1.61660000e-08
  599.50  8.49562000e-06  3.38541000e-09  8.75710000e-06  6.62678000e-08
  649.50  8.09135000e-06  6.58804000e-08  8.52845000e-06  1.83569000e-07
  699.50  8.23126000e-06  6.30158000e-08  8.55216000e-06  6.04494000e-08
  749.50  8.07201000e-06  3.65874000e-08  8.62739000e-06 -2.05102000e-08
  799.50  7.85738000e-06  2.53287000e-08  7.98139000e-06  3.52311000e-08
  849.50  7.69666000e-06  4.81272000e-08  8.05485000e-06  1.66829000e-08
  899.50  7.70048000e-06  3.00422000e-08  7.87747000e-06  2.06051000e-08
  949.50  7.62515000e-06  5.16015000e-08  7.82927000e-06  5.77469000e-08
  999.50  7.50547000e-06  3.78210000e-08  8.04256000e-06  2.68023000e-08
