# Multi-sample, combined g-g g-k C_l.
# Samples: [33, 43]
# Have 20 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   49.50  5.53747000e-05  5.60735000e-07  5.72769000e-05  1.02436000e-06
   99.50  2.98048000e-05  4.28648000e-07  3.08982000e-05  4.34447000e-07
  149.50  2.07790000e-05  3.43211000e-07  1.93781000e-05  2.46961000e-07
  199.50  1.68094000e-05  1.88980000e-07  1.73918000e-05  2.38596000e-07
  249.50  1.41017000e-05  1.45404000e-07  1.38729000e-05  8.02259000e-08
  299.50  1.30471000e-05  1.01279000e-07  1.33656000e-05  8.83458000e-08
  349.50  1.22670000e-05  5.34498000e-08  1.24153000e-05  1.88206000e-07
  399.50  1.12383000e-05  6.73206000e-08  1.11725000e-05  8.74565000e-08
  449.50  1.04619000e-05  9.63059000e-08  1.11177000e-05  1.03994000e-07
  499.50  1.00800000e-05  1.16633000e-07  1.03666000e-05  1.90395000e-08
  549.50  1.00883000e-05  7.13181000e-08  1.00647000e-05 -1.53646000e-09
  599.50  9.52595000e-06  1.41430000e-08  1.00443000e-05  7.93574000e-08
  649.50  9.35181000e-06  8.37301000e-08  9.56624000e-06  1.68563000e-07
  699.50  9.45836000e-06  5.60749000e-08  9.84251000e-06  5.78402000e-08
  749.50  9.13630000e-06  2.90022000e-08  9.98606000e-06 -5.63341000e-09
  799.50  9.08207000e-06  1.95627000e-08  9.35012000e-06  6.49506000e-09
  849.50  8.98738000e-06  5.64351000e-08  9.20980000e-06  1.31907000e-08
  899.50  9.07007000e-06  5.02447000e-08  9.09673000e-06  3.98605000e-08
  949.50  8.99605000e-06  2.07907000e-08  9.52445000e-06  8.24547000e-08
  999.50  8.87540000e-06  4.32376000e-08  9.40404000e-06  5.22152000e-08
