# Multi-sample, combined g-g g-k C_l.
# Samples: [51, 53, 61, 63]
# Have 20 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   49.50  6.37088000e-05  8.20099000e-07  6.14382000e-05  5.93806000e-07  6.19163000e-05  7.25056000e-07  6.04737000e-05  8.27862000e-07
   99.50  3.21791000e-05  3.52660000e-07  3.23915000e-05  4.46724000e-07  2.83438000e-05  4.57395000e-07  3.32996000e-05  4.19094000e-07
  149.50  2.13878000e-05  2.79742000e-07  2.14973000e-05  3.60291000e-07  2.25216000e-05  4.19194000e-07  2.05942000e-05  2.49858000e-07
  199.50  1.69565000e-05  1.40669000e-07  1.70128000e-05  1.87927000e-07  1.41139000e-05  9.09116000e-08  1.76513000e-05  2.56338000e-07
  249.50  1.49656000e-05  1.45015000e-07  1.40297000e-05  1.65177000e-07  1.31221000e-05  1.97232000e-07  1.38104000e-05  1.15830000e-07
  299.50  1.25246000e-05  9.79828000e-08  1.27402000e-05  9.73428000e-08  1.14908000e-05  1.91253000e-07  1.28503000e-05  7.80121000e-08
  349.50  1.17192000e-05  7.92040000e-08  1.17966000e-05  5.51482000e-08  1.14504000e-05  5.33412000e-08  1.17669000e-05  1.82427000e-07
  399.50  1.10718000e-05  5.91582000e-08  1.05397000e-05  5.86229000e-08  9.86548000e-06  1.14734000e-07  1.04907000e-05  9.07362000e-08
  449.50  1.05841000e-05  1.11931000e-07  9.88336000e-06  8.33856000e-08  9.23291000e-06 -1.18025000e-08  1.02419000e-05  1.01376000e-07
  499.50  9.70740000e-06  4.49929000e-08  9.38313000e-06  1.22812000e-07  9.04020000e-06  5.29798000e-08  9.60979000e-06 -1.95315000e-08
  549.50  9.60969000e-06  8.79702000e-08  9.16210000e-06  5.84086000e-08  8.15190000e-06  8.18245000e-08  9.28288000e-06 -4.22557000e-09
  599.50  9.44870000e-06  8.91053000e-08  8.73815000e-06  7.63547000e-09  8.30693000e-06  9.28565000e-08  9.16131000e-06  7.96874000e-08
  649.50  9.03037000e-06  6.08582000e-08  8.47100000e-06  7.43824000e-08  8.32542000e-06  7.62804000e-08  8.75910000e-06  1.81520000e-07
  699.50  9.05055000e-06  7.60229000e-08  8.53265000e-06  5.92482000e-08  8.06822000e-06 -4.64064000e-09  8.83952000e-06  6.91389000e-08
  749.50  8.76516000e-06  5.07160000e-08  8.38129000e-06  3.77416000e-08  8.14007000e-06  9.40765000e-08  9.05035000e-06 -1.01568000e-08
  799.50  8.81876000e-06  5.19113000e-08  8.17081000e-06  1.27567000e-08  7.65649000e-06 -2.37091000e-10  8.36879000e-06  2.33393000e-08
  849.50  8.53611000e-06  3.14680000e-08  8.08583000e-06  5.39153000e-08  7.78059000e-06  1.30914000e-08  8.34252000e-06  2.02628000e-08
  899.50  8.48005000e-06  3.05113000e-08  8.11728000e-06  3.45357000e-08  7.74332000e-06  2.74832000e-08  8.20915000e-06  2.22052000e-08
  949.50  8.33926000e-06  3.26692000e-08  8.04504000e-06  4.08467000e-08  7.50297000e-06  6.27141000e-08  8.39034000e-06  6.96566000e-08
  999.50  8.36662000e-06  3.43129000e-08  7.92240000e-06  4.40523000e-08  7.48422000e-06  6.99478000e-08  8.52042000e-06  2.92301000e-08
