# Best-fit model, windowed.
# OmM=0.299738, H0=67.660643, lnA=2.826060, sig8=0.704877.
#      k[h/Mpc]              P0              P2
    5.00000e-03     6.69814e+04     1.40177e+04
    1.50000e-02     7.68689e+04     2.37178e+04
    2.50000e-02     6.78269e+04     2.33811e+04
    3.50000e-02     5.31961e+04     1.92680e+04
    4.50000e-02     4.22302e+04     1.55211e+04
    5.50000e-02     3.60051e+04     1.30750e+04
    6.50000e-02     3.19618e+04     1.13797e+04
    7.50000e-02     2.78170e+04     9.81791e+03
    8.50000e-02     2.32638e+04     8.27440e+03
    9.50000e-02     1.92811e+04     6.93639e+03
    1.05000e-01     1.66010e+04     5.92245e+03
    1.15000e-01     1.50384e+04     5.16315e+03
    1.25000e-01     1.39199e+04     4.53779e+03
    1.35000e-01     1.27006e+04     3.97824e+03
    1.45000e-01     1.13094e+04     3.47360e+03
    1.55000e-01     1.00068e+04     3.01851e+03
    1.65000e-01     9.01689e+03     2.59280e+03
    1.75000e-01     8.33616e+03     2.17796e+03
    1.85000e-01     7.81214e+03     1.77903e+03
    1.95000e-01     7.29190e+03     1.41441e+03
    2.05000e-01     6.72922e+03     1.09096e+03
    2.15000e-01     6.17489e+03     7.90266e+02
    2.25000e-01     5.69020e+03     4.85537e+02
    2.35000e-01     5.29181e+03     1.64007e+02
    2.45000e-01     4.95230e+03    -1.68989e+02
    2.55000e-01     4.63255e+03    -4.99192e+02
    2.65000e-01     4.31117e+03    -8.18065e+02
    2.75000e-01     3.99084e+03    -1.12941e+03
    2.85000e-01     3.68425e+03    -1.44539e+03
    2.95000e-01     3.39862e+03    -1.77460e+03
    3.05000e-01     3.13073e+03    -2.11666e+03
    3.15000e-01     2.87218e+03    -2.46566e+03
    3.25000e-01     2.61603e+03    -2.81747e+03
    3.35000e-01     2.35984e+03    -3.17178e+03
    3.45000e-01     2.10482e+03    -3.53095e+03
    3.55000e-01     1.85311e+03    -3.89667e+03
    3.65000e-01     1.60467e+03    -4.26640e+03
    3.75000e-01     1.35863e+03    -4.62935e+03
    3.85000e-01     1.11598e+03    -4.94659e+03
    3.95000e-01     8.16676e+02    -4.64638e+03
