# Best-fit model, windowed.
# OmM=0.299404, H0=69.060986, lnA=2.744523, sig8=0.701092.
#      k[h/Mpc]              P0              P2
    5.00000e-03     6.26475e+04     1.07144e+04
    1.50000e-02     7.23670e+04     2.06083e+04
    2.50000e-02     6.48022e+04     2.04586e+04
    3.50000e-02     5.19097e+04     1.68115e+04
    4.50000e-02     4.18799e+04     1.35503e+04
    5.50000e-02     3.57651e+04     1.14098e+04
    6.50000e-02     3.14700e+04     9.83766e+03
    7.50000e-02     2.72016e+04     8.35013e+03
    8.50000e-02     2.28232e+04     6.93729e+03
    9.50000e-02     1.91163e+04     5.77586e+03
    1.05000e-01     1.65539e+04     4.91421e+03
    1.15000e-01     1.48889e+04     4.25199e+03
    1.25000e-01     1.35807e+04     3.69427e+03
    1.35000e-01     1.22618e+04     3.21121e+03
    1.45000e-01     1.09207e+04     2.80315e+03
    1.55000e-01     9.73100e+03     2.45188e+03
    1.65000e-01     8.80135e+03     2.12574e+03
    1.75000e-01     8.09139e+03     1.80855e+03
    1.85000e-01     7.49378e+03     1.51171e+03
    1.95000e-01     6.92505e+03     1.25327e+03
    2.05000e-01     6.37108e+03     1.03482e+03
    2.15000e-01     5.85929e+03     8.37969e+02
    2.25000e-01     5.41045e+03     6.43484e+02
    2.35000e-01     5.02143e+03     4.45380e+02
    2.45000e-01     4.67348e+03     2.49544e+02
    2.55000e-01     4.34959e+03     6.45452e+01
    2.65000e-01     4.04279e+03    -1.07221e+02
    2.75000e-01     3.75431e+03    -2.70129e+02
    2.85000e-01     3.48617e+03    -4.30213e+02
    2.95000e-01     3.23760e+03    -5.90345e+02
    3.05000e-01     3.00529e+03    -7.49612e+02
    3.15000e-01     2.78565e+03    -9.05313e+02
    3.25000e-01     2.57639e+03    -1.05683e+03
    3.35000e-01     2.37626e+03    -1.20502e+03
    3.45000e-01     2.18455e+03    -1.35059e+03
    3.55000e-01     2.00015e+03    -1.49350e+03
    3.65000e-01     1.82140e+03    -1.63205e+03
    3.75000e-01     1.64505e+03    -1.76102e+03
    3.85000e-01     1.46048e+03    -1.86173e+03
    3.95000e-01     1.13344e+03    -1.69019e+03
