# Best-fit model, reconstructed.
# OmM=0.299404, H0=69.060986, lnA=2.744523, sig8=0.701092.
#      r[Mpc/h]             xi0             xi2
    2.50000e+00    -6.96492e+00    -1.85933e+00
    7.50000e+00    -5.23431e+00    -1.40730e+00
    1.25000e+01    -3.66136e+00    -9.94869e-01
    1.75000e+01    -2.41169e+00    -6.65403e-01
    2.25000e+01    -1.47481e+00    -4.16500e-01
    2.75000e+01    -8.12490e-01    -2.38542e-01
    3.25000e+01    -3.79594e-01    -1.20119e-01
    3.75000e+01    -1.28626e-01    -4.92011e-02
    4.25000e+01    -1.11003e-02    -1.35053e-02
    4.75000e+01     2.19391e-02    -6.23917e-04
    5.25000e+01     1.93575e-02     1.83186e-03
    5.75000e+01     1.42062e-02     2.42362e-03
    6.25000e+01     1.05357e-02     2.60239e-03
    6.75000e+01     7.86817e-03     2.54795e-03
    7.25000e+01     5.84997e-03     2.35407e-03
    7.75000e+01     4.28183e-03     2.11915e-03
    8.25000e+01     3.26854e-03     1.99377e-03
    8.75000e+01     3.09572e-03     1.99106e-03
    9.25000e+01     3.89657e-03     1.91285e-03
    9.75000e+01     5.15467e-03     1.66335e-03
    1.02500e+02     5.77605e-03     1.39941e-03
    1.07500e+02     5.20841e-03     1.20677e-03
    1.12500e+02     3.89511e-03     9.94922e-04
    1.17500e+02     2.54749e-03     7.23056e-04
    1.22500e+02     1.54199e-03     4.52550e-04
    1.27500e+02     9.30749e-04     2.45916e-04
    1.32500e+02     6.31552e-04     1.12236e-04
    1.37500e+02     5.30090e-04     2.20509e-05
    1.42500e+02     5.30541e-04    -5.51335e-05
    1.47500e+02     5.77120e-04    -1.33866e-04
    1.52500e+02     6.43544e-04    -2.16898e-04
    1.57500e+02     7.18762e-04    -3.02476e-04
    1.62500e+02     8.89203e-04    -2.80037e-04
    1.67500e+02     1.78095e-03     5.97658e-04
    1.72500e+02     4.33771e-03     3.45364e-03
    1.77500e+02     9.51575e-03     9.42581e-03
